StateCode,StateName,Year,oop_per_hospitalisation
1,Jammu and Kashmir,2017,8724.0
2,Himachal Pradesh,2017,18132.0
3,Punjab,2017,28177.0
4,Chandigarh,2017,38033.0
5,Uttarakhand,2017,17960.0
6,Haryana,2017,19147.0
7,Delhi,2017,17289.0
8,Rajasthan,2017,16102.0
9,Uttar Pradesh,2017,24977.0
10,Bihar,2017,12258.0
11,Sikkim,2017,6194.0
12,Arunachal Pradesh,2017,4652.0
13,Nagaland,2017,7572.0
14,Manipur,2017,15043.0
15,Mizoram,2017,4478.0
16,Tripura,2017,6147.0
17,Meghalaya,2017,4083.0
18,Assam,2017,13798.0
19,West Bengal,2017,14580.0
20,Jharkhand,2017,19057.0
21,Odisha,2017,11476.0
22,Chhattisgarh,2017,22896.0
23,Madhya Pradesh,2017,14655.0
24,Gujarat,2017,15448.0
27,Maharashtra,2017,23892.0
28,Andhra Pradesh,2017,16454.0
29,Karnataka,2017,15546.0
30,Goa,2017,11983.0
31,Lakshadweep,2017,10383.0
32,Kerala,2017,17098.0
33,Tamil Nadu,2017,15835.0
34,Puducherry,2017,19646.0
35,Andaman and Nicobar Islands,2017,16379.0
36,Telangana,2017,22377.0
37,Ladakh,2017,8724.0
38,The Dadra and Nagar Haveli and Daman and Diu,2017,13964.7076144477
