StateCode,StateName,Year,success_rate,ltfu_rate,lab_tech_fill_rate,phc_doctor_fill_rate,stunting_pct,improved_sanitation_pct,oop_per_hospitalisation,anm_fill_rate,tb_dm_coinfected_pct
1,Jammu And Kashmir,2021,86.1,1.6,0.1604342581423401,0.374189364461738,28.0,78.94999999999999,8724.0,0.0651713922979263,6.0
1,Jammu And Kashmir,2022,86.5,1.2,0.1375515818431912,0.4068241469816273,28.0,78.94999999999999,8724.0,0.1088154269972451,7.0
2,Himachal Pradesh,2021,87.6,1.0,0.6174496644295302,0.1634304207119741,29.15,83.15,18132.0,0.3616252821670428,8.0
2,Himachal Pradesh,2022,86.7,1.5,0.6209150326797386,0.2304147465437788,29.15,83.15,18132.0,0.7213240954580447,9.0
3,Punjab,2021,84.4,2.5,0.2987164527421236,0.3426229508196721,24.8,86.85,28177.0,0.25716174526223,10.0
3,Punjab,2022,83.9,2.5,0.3066361556064073,0.3113673805601318,24.8,86.85,28177.0,0.3375329622033401,11.0
5,Uttarakhand,2021,86.7,2.4,0.4715909090909091,0.2764423076923077,26.25,79.35,17960.0,0.2014072119613016,7.0
5,Uttarakhand,2022,87.5,2.3,0.6086956521739131,0.2247191011235955,26.25,79.35,17960.0,0.3155286343612334,7.0
6,Haryana,2021,83.5,2.1,0.4540466392318244,0.1933497536945813,27.1,85.3,19147.0,0.1600910470409711,7.0
6,Haryana,2022,86.6,1.5,0.4796437659033079,0.2528445006321112,27.1,85.3,19147.0,0.216239500323067,7.0
7,Delhi,2021,74.1,5.2,0.1428571428571428,0.1578947368421052,28.65,84.15,17289.0,0.054054054054054,8.0
7,Delhi,2022,75.9,4.7,0.1428571428571428,0.1578947368421052,28.65,84.15,17289.0,0.088235294117647,8.0
8,Rajasthan,2021,85.2,3.4,0.3270218228498074,0.146975233455136,30.450000000000003,76.65,16102.0,0.1386210356167437,3.0
8,Rajasthan,2022,88.7,2.4,0.3254865034526051,0.1281427412814274,30.450000000000003,76.65,16102.0,0.1584964154233675,3.0
9,Uttar Pradesh,2021,86.3,2.5,0.3531675547661338,0.3046312949640288,37.15,72.85,24977.0,0.2326349831271091,5.0
9,Uttar Pradesh,2022,89.5,1.4,0.3722334004024145,0.3502697841726618,37.15,72.85,24977.0,0.3286007846067625,5.0
10,Bihar,2021,81.9,3.9,0.7739552066497345,0.3277739170720408,40.35,57.45,12258.0,0.547695581812942,5.0
10,Bihar,2022,83.9,4.5,0.4346201743462017,0.5721835883171071,40.35,57.45,12258.0,0.0567139710026128,6.0
11,Sikkim,2021,88.1,1.5,0.0,0.0256410256410256,20.35,86.65,6194.0,0.0,8.0
12,Arunachal Pradesh,2021,79.3,6.6,0.0,0.0,28.15,81.65,4652.0,0.0,2.0
13,Nagaland,2021,85.9,2.9,0.0,0.0,30.9,86.30000000000001,7572.0,0.0,5.0
14,Manipur,2021,79.4,3.4,0.1259259259259259,0.086053412462908,22.6,64.05,15043.0,0.1175438596491228,15.0
14,Manipur,2022,71.6,4.2,0.1374045801526717,0.1020408163265306,22.6,64.05,15043.0,0.1307609860664523,18.0
17,Meghalaya,2021,84.8,2.1,0.0,0.0742857142857142,41.650000000000006,82.3,4083.0,0.0,4.0
18,Assam,2021,88.1,1.9,0.0868628858578607,0.1753130590339892,32.9,69.05000000000001,13798.0,0.048823400043985,7.0
19,West Bengal,2021,83.4,1.9,0.4085808580858086,0.3770384866275277,33.25,69.85,14580.0,0.1088919422907056,12.0
19,West Bengal,2022,85.7,2.0,0.3706484641638225,0.3660598179453836,33.25,69.85,14580.0,0.1180598095450242,14.0
20,Jharkhand,2021,86.5,4.8,0.3625429553264604,0.0446735395189003,34.55,63.35,19057.0,0.373640976081179,5.0
20,Jharkhand,2022,89.2,2.2,0.352233676975945,0.0206185567010309,34.55,63.35,19057.0,0.5029048656499637,5.0
21,Odisha,2021,89.7,1.0,0.1986628462273161,0.304282494365139,28.45,65.15,11476.0,0.1081430924923511,8.0
21,Odisha,2022,91.0,0.8,0.1928251121076233,0.2573143285821455,28.45,65.15,11476.0,0.1120436983746336,8.0
22,Chhattisgarh,2021,85.9,1.9,0.1405312767780634,0.4302059496567506,32.85,80.85,22896.0,0.0,8.0
22,Chhattisgarh,2022,88.3,1.9,0.2617342879872713,0.4922440537745605,32.85,80.85,22896.0,0.1956486704270749,9.0
23,Madhya Pradesh,2021,84.7,4.4,0.302158273381295,0.3073661897191309,33.7,70.2,14655.0,0.0688583197326494,5.0
23,Madhya Pradesh,2022,87.3,3.4,0.2797246558197747,0.1618705035971223,33.7,70.2,14655.0,0.0595782935599869,6.0
24,Gujarat,2021,88.7,1.8,0.0254143646408839,0.117708880714661,37.7,76.3,15448.0,0.1372869684971595,5.0
24,Gujarat,2022,90.1,1.3,0.0961848468565287,0.0985615343633457,37.7,76.3,15448.0,0.1339164844319483,6.0
27,Maharashtra,2021,86.8,1.5,0.2570647219690063,0.1912459587167371,35.2,72.25,23892.0,0.1892315441876084,7.0
27,Maharashtra,2022,86.9,1.4,0.2645551932929669,0.182070707070707,35.2,72.25,23892.0,0.2563742517182765,7.0
28,Andhra Pradesh,2021,93.1,0.2,0.2288659793814433,0.0675675675675675,28.65,80.6,16454.0,0.0840356813288219,12.0
28,Andhra Pradesh,2022,94.7,0.1,0.2176470588235294,0.0716228467815049,28.65,80.6,16454.0,0.0521093582696837,14.0
29,Karnataka,2021,82.5,2.5,0.1731414868105515,0.2514546965918537,34.7,76.45,15546.0,0.1998595505617977,13.0
29,Karnataka,2022,84.6,2.1,0.1671996345363179,0.1661316211878009,34.7,76.45,15546.0,0.2841142430464812,15.0
30,Goa,2021,80.1,3.1,0.0,0.09375,26.25,87.7,11983.0,0.1275167785234899,16.0
30,Goa,2022,74.3,4.4,0.0,0.1081081081081081,26.25,87.7,11983.0,0.2601279317697228,19.0
31,Lakshadweep,2021,90.0,0.0,0.1666666666666666,0.0,33.15,99.85,10383.0,0.0769230769230769,21.0
31,Lakshadweep,2022,100.0,0.0,0.0,0.0,33.15,99.85,10383.0,0.0222222222222222,40.0
32,Kerala,2021,79.5,2.2,0.0362844702467343,0.046,23.25,98.75,17098.0,0.1240713224368499,31.0
32,Kerala,2022,81.8,2.6,0.0218579234972677,0.039002557544757,23.25,98.75,17098.0,0.1789383561643835,33.0
33,Tamil Nadu,2021,83.1,2.8,0.2376926902038786,0.0889334670678702,24.7,73.05,15835.0,0.0484577637574483,25.0
33,Tamil Nadu,2022,85.8,2.5,0.2216162617749132,0.0884125920964501,24.7,73.05,15835.0,0.0566827404239832,27.0
34,Puducherry,2021,80.6,2.4,0.0666666666666666,0.0,18.65,81.9,19646.0,0.0083333333333333,28.0
34,Puducherry,2022,81.8,2.7,0.0666666666666666,0.0,18.65,81.9,19646.0,0.0,30.0
35,Andaman And Nicobar Islands,2021,86.7,2.5,0.1111111111111111,0.0566037735849056,22.3,88.0,16379.0,0.0463917525773195,20.0
35,Andaman And Nicobar Islands,2022,85.0,3.1,0.1111111111111111,0.0566037735849056,22.3,88.0,16379.0,0.0486486486486486,20.0
36,Telangana,2021,91.2,0.7,0.1630012936610608,0.0326953748006379,31.9,77.35,22377.0,0.1170520231213872,7.0
36,Telangana,2022,91.7,0.5,0.165079365079365,0.3098106712564544,31.9,77.35,22377.0,0.2635684647302904,7.0
37,Ladakh,2021,82.2,1.3,0.1538461538461538,0.5161290322580645,29.65,54.75,8724.0,0.1757322175732217,1.0
37,Ladakh,2022,87.8,0.3,0.2,0.5,29.65,54.75,8724.0,0.2084367245657568,5.0
38,The Dadra And Nagar Haveli And Daman And Diu,2021,92.5,0.3,0.0,0.0,39.3,65.9,13964.7076144477,0.0,5.0
38,The Dadra And Nagar Haveli And Daman And Diu,2022,94.3,0.1,0.0,0.0,39.3,65.9,13964.7076144477,0.0231213872832369,5.0
