StateCode,StateName,Year,tb_dm_known_status_pct,tb_dm_coinfected_pct
1,Jammu And Kashmir,2020,,
1,Jammu And Kashmir,2021,86.0,6.0
1,Jammu And Kashmir,2022,88.0,7.0
1,Jammu And Kashmir,2023,95.4,6.7
1,Jammu And Kashmir,2024,95.4,7.6
2,Himachal Pradesh,2020,,
2,Himachal Pradesh,2021,99.0,8.0
2,Himachal Pradesh,2022,99.0,9.0
2,Himachal Pradesh,2023,99.1,9.3
2,Himachal Pradesh,2024,98.9,8.6
3,Punjab,2020,,
3,Punjab,2021,93.0,10.0
3,Punjab,2022,90.0,11.0
3,Punjab,2023,91.5,11.3
3,Punjab,2024,91.9,11.4
4,Chandigarh,2020,,
4,Chandigarh,2021,90.0,8.0
4,Chandigarh,2022,93.0,9.0
4,Chandigarh,2023,94.9,8.9
4,Chandigarh,2024,85.8,11.0
5,Uttarakhand,2020,,
5,Uttarakhand,2021,57.0,7.0
5,Uttarakhand,2022,88.0,7.0
5,Uttarakhand,2023,96.6,7.9
5,Uttarakhand,2024,96.2,7.9
6,Haryana,2020,,
6,Haryana,2021,86.0,7.0
6,Haryana,2022,92.0,7.0
6,Haryana,2023,95.0,7.7
6,Haryana,2024,97.3,7.5
7,Delhi,2020,,
7,Delhi,2021,72.0,8.0
7,Delhi,2022,81.0,8.0
7,Delhi,2023,84.2,8.1
7,Delhi,2024,87.8,7.9
8,Rajasthan,2020,,
8,Rajasthan,2021,88.0,3.0
8,Rajasthan,2022,90.0,3.0
8,Rajasthan,2023,90.5,2.9
8,Rajasthan,2024,89.4,2.5
9,Uttar Pradesh,2020,,
9,Uttar Pradesh,2021,71.0,5.0
9,Uttar Pradesh,2022,87.0,5.0
9,Uttar Pradesh,2023,93.0,5.5
9,Uttar Pradesh,2024,96.4,5.4
10,Bihar,2020,,
10,Bihar,2021,61.0,5.0
10,Bihar,2022,63.0,6.0
10,Bihar,2023,66.1,5.7
10,Bihar,2024,65.0,6.1
11,Sikkim,2020,,
11,Sikkim,2021,95.0,8.0
11,Sikkim,2022,94.0,9.0
11,Sikkim,2023,97.5,9.0
11,Sikkim,2024,95.4,8.7
12,Arunachal Pradesh,2020,,
12,Arunachal Pradesh,2021,82.0,2.0
12,Arunachal Pradesh,2022,84.0,2.0
12,Arunachal Pradesh,2023,79.0,2.5
12,Arunachal Pradesh,2024,68.5,2.8
13,Nagaland,2020,,
13,Nagaland,2021,63.0,5.0
13,Nagaland,2022,81.0,4.0
13,Nagaland,2023,83.2,5.5
13,Nagaland,2024,85.9,5.1
14,Manipur,2020,,
14,Manipur,2021,54.0,15.0
14,Manipur,2022,64.0,18.0
14,Manipur,2023,76.3,15.2
14,Manipur,2024,81.4,16.1
15,Mizoram,2020,,
15,Mizoram,2021,78.0,6.0
15,Mizoram,2022,97.0,6.0
15,Mizoram,2023,98.6,6.3
15,Mizoram,2024,96.4,5.4
16,Tripura,2020,,
16,Tripura,2021,77.0,16.0
16,Tripura,2022,93.0,16.0
16,Tripura,2023,94.6,15.4
16,Tripura,2024,95.6,14.1
17,Meghalaya,2020,,
17,Meghalaya,2021,78.0,4.0
17,Meghalaya,2022,82.0,5.0
17,Meghalaya,2023,78.6,5.9
17,Meghalaya,2024,87.4,4.4
18,Assam,2020,,
18,Assam,2021,68.0,7.0
18,Assam,2022,75.0,8.0
18,Assam,2023,81.0,7.5
18,Assam,2024,88.3,7.6
19,West Bengal,2020,,
19,West Bengal,2021,91.0,12.0
19,West Bengal,2022,94.0,14.0
19,West Bengal,2023,93.6,14.3
19,West Bengal,2024,93.6,13.6
20,Jharkhand,2020,,
20,Jharkhand,2021,65.0,5.0
20,Jharkhand,2022,73.0,5.0
20,Jharkhand,2023,90.0,5.5
20,Jharkhand,2024,92.2,5.9
21,Odisha,2020,,
21,Odisha,2021,95.0,8.0
21,Odisha,2022,96.0,8.0
21,Odisha,2023,96.5,7.6
21,Odisha,2024,97.3,7.9
22,Chhattisgarh,2020,,
22,Chhattisgarh,2021,90.0,8.0
22,Chhattisgarh,2022,90.0,9.0
22,Chhattisgarh,2023,91.6,9.2
22,Chhattisgarh,2024,91.5,9.2
23,Madhya Pradesh,2020,,
23,Madhya Pradesh,2021,87.0,5.0
23,Madhya Pradesh,2022,90.0,6.0
23,Madhya Pradesh,2023,89.8,5.4
23,Madhya Pradesh,2024,89.4,5.4
24,Gujarat,2020,,
24,Gujarat,2021,98.0,5.0
24,Gujarat,2022,98.0,6.0
24,Gujarat,2023,97.8,5.0
24,Gujarat,2024,97.4,5.6
27,Maharashtra,2020,,
27,Maharashtra,2021,93.0,7.0
27,Maharashtra,2022,94.0,7.0
27,Maharashtra,2023,97.3,6.4
27,Maharashtra,2024,95.8,6.3
28,Andhra Pradesh,2020,,
28,Andhra Pradesh,2021,93.0,12.0
28,Andhra Pradesh,2022,98.0,14.0
28,Andhra Pradesh,2023,98.7,13.5
28,Andhra Pradesh,2024,97.6,13.1
29,Karnataka,2020,,
29,Karnataka,2021,94.0,13.0
29,Karnataka,2022,95.0,15.0
29,Karnataka,2023,95.9,14.9
29,Karnataka,2024,95.4,15.2
30,Goa,2020,,
30,Goa,2021,98.0,16.0
30,Goa,2022,96.0,19.0
30,Goa,2023,98.9,20.0
30,Goa,2024,95.8,22.0
31,Lakshadweep,2020,,
31,Lakshadweep,2021,100.0,21.0
31,Lakshadweep,2022,100.0,40.0
31,Lakshadweep,2023,95.5,23.8
31,Lakshadweep,2024,92.9,15.4
32,Kerala,2020,,
32,Kerala,2021,91.0,31.0
32,Kerala,2022,93.0,33.0
32,Kerala,2023,94.1,32.9
32,Kerala,2024,97.0,33.9
33,Tamil Nadu,2020,,
33,Tamil Nadu,2021,95.0,25.0
33,Tamil Nadu,2022,97.0,27.0
33,Tamil Nadu,2023,97.9,26.4
33,Tamil Nadu,2024,97.7,26.3
34,Puducherry,2020,,
34,Puducherry,2021,98.0,28.0
34,Puducherry,2022,98.0,30.0
34,Puducherry,2023,99.0,30.7
34,Puducherry,2024,98.1,31.8
35,Andaman And Nicobar Islands,2020,,
35,Andaman And Nicobar Islands,2021,88.0,20.0
35,Andaman And Nicobar Islands,2022,92.0,20.0
35,Andaman And Nicobar Islands,2023,95.2,18.7
35,Andaman And Nicobar Islands,2024,90.3,19.6
36,Telangana,2020,,
36,Telangana,2021,93.0,7.0
36,Telangana,2022,95.0,7.0
36,Telangana,2023,94.3,6.3
36,Telangana,2024,92.2,5.7
37,Ladakh,2020,,
37,Ladakh,2021,80.0,1.0
37,Ladakh,2022,81.0,5.0
37,Ladakh,2023,91.6,2.3
37,Ladakh,2024,86.7,3.1
38,The Dadra And Nagar Haveli And Daman And Diu,2020,,
38,The Dadra And Nagar Haveli And Daman And Diu,2021,93.0,5.0
38,The Dadra And Nagar Haveli And Daman And Diu,2022,98.0,5.0
38,The Dadra And Nagar Haveli And Daman And Diu,2023,99.2,6.7
38,The Dadra And Nagar Haveli And Daman And Diu,2024,99.5,7.0
